ID:START	AR	BW	CL	JG	JL	LB	MAD	MM	NB	SB	SN
15-18	_	_	_	_	_	_	_	_	_	_	_
15-19	_	_	_	_	_	_	_	_	_	_	_
15-20	_	_	_	_	_	_	_	_	_	_	_
15-21	_	_	_	_	_	_	_	_	_	_	_
15-22	_	_	_	_	_	_	_	_	_	_	_
15-23	_	_	_	_	_	_	_	_	_	_	_
15-24	_	_	_	_	_	_	_	_	_	_	_
15-25	_	_	_	_	_	_	_	_	_	_	_
15-26	_	_	_	_	_	_	_	_	_	_	_
15-27	_	_	_	_	_	_	_	_	_	_	_
15-28	_	_	_	_	_	_	_	_	_	_	_
15-29	_	_	_	_	_	_	_	_	_	_	_
15-30	_	_	_	_	_	_	_	_	_	_	_
15-31	_	_	_	_	_	_	_	_	_	_	_
15-32	INTERACTION[20]	_	_	_	_	INTERACTION[19]	_	_	_	_	_
15-33	INTERACTION[20]	_	_	_	_	INTERACTION[19]	_	_	_	_	_
15-34	_	_	_	_	_	_	_	_	_	_	_
15-35	_	_	_	_	_	_	_	_	_	_	_
16-1	_	_	_	_	_	_	_	_	_	_	_
16-2	_	_	_	_	_	_	_	_	_	_	_
16-3	_	_	_	_	_	_	_	_	_	_	_
16-4	_	_	_	_	_	_	_	_	_	_	_
16-5	DRUG[21]	_	_	_	_	_	_	_	_	_	_
16-6	DRUG[21]	DRUG	_	DRUG	DRUG	DRUG	_	DRUG	DRUG	_	DRUG
16-7	_	_	_	_	_	_	_	_	_	_	_
16-8	_	_	_	_	_	_	_	_	_	_	_
16-9	_	_	_	_	_	_	_	_	_	_	_
16-10	_	_	_	_	_	_	_	_	_	_	_
16-11	_	_	_	_	_	_	_	_	_	_	_
16-12	_	_	_	_	_	_	_	_	_	_	_
16-13	_	_	_	_	_	_	_	_	_	_	_
16-14	DRUG	_	_	DRUG	DRUG	DRUG	_	DRUG	_	_	_
16-15	_	_	_	_	_	_	_	_	_	_	_
17-1	_	_	_	_	_	_	_	_	_	_	_
17-2	DRUG[22]	_	_	_	_	_	_	_	_	_	_
17-3	DRUG[22]	_	_	DRUG	DRUG	DRUG	_	DRUG	DRUG	_	_
17-4	_	_	_	_	_	_	_	_	_	_	_
17-5	INTERACTION[23]	_	_	_	INTERACTION[21]	_	_	_	_	_	_
17-6	INTERACTION[23]	_	_	_	INTERACTION[21]	_	_	_	_	_	_
17-7	INTERACTION[23]	_	_	_	INTERACTION[21]	_	_	_	_	_	_
17-8	INTERACTION[23]	_	_	_	INTERACTION[21]	_	_	_	_	_	_
17-9	INTERACTION[23]	_	_	_	INTERACTION[21]	INTERACTION	_	_	_	_	_
17-10	INTERACTION[23]	_	_	_	INTERACTION[21]	_	_	_	_	_	_
17-11	INTERACTION[23]	_	_	_	INTERACTION[21]	_	_	_	_	_	_
17-12	INTERACTION[23]	_	_	_	INTERACTION[21]	_	_	_	_	_	_
17-13	_	_	_	_	_	_	_	_	_	_	_
17-14	_	_	_	_	_	_	_	_	_	_	_
17-15	_	_	_	_	_	_	_	_	_	_	_
17-16	_	_	_	_	_	_	_	_	_	_	_
17-17	_	_	_	_	_	_	_	_	_	_	_
17-18	_	_	_	_	_	_	_	_	_	_	_
17-19	_	_	_	_	_	_	_	_	_	_	_
17-20	_	_	_	_	_	_	_	_	_	_	_
17-21	_	_	_	_	_	_	_	_	_	_	_
17-22	_	_	_	_	_	_	_	_	_	_	_
17-23	_	_	_	_	_	_	_	_	_	_	_
17-24	_	_	_	_	_	_	_	_	_	_	_
17-25	_	_	_	_	_	_	_	_	_	_	_
17-26	_	_	_	_	_	_	_	_	_	_	_
17-27	_	_	_	_	_	_	_	_	_	_	_
18-1	_	_	_	_	_	_	_	_	_	_	_
18-2	INTERACTION	_	_	_	_	INTERACTION	_	_	_	_	_
18-3	_	_	_	_	_	_	_	_	_	_	_
18-4	DRUG	_	_	DRUG	DRUG	DRUG	_	DRUG	_	_	_
18-5	_	_	_	_	_	_	_	_	_	_	_
19-1	_	_	_	_	_	_	_	_	_	_	_
19-2	_	_	_	_	_	_	_	_	_	_	_
19-3	_	_	_	_	_	_	_	_	_	_	_
19-4	INTERACTION	INTERACTION	_	INTERACTION	_	INTERACTION	INTERACTION	_	INTERACTION	INTERACTION	INTERACTION
19-5	_	_	_	_	_	_	_	_	_	_	_
19-6	_	_	_	_	_	_	_	_	_	_	_
19-7	_	_	_	_	_	_	_	_	_	_	_
19-8	_	_	_	_	_	_	_	_	_	_	_
19-9	_	_	_	_	_	_	_	_	_	_	_
19-10	_	_	_	_	_	_	_	_	_	_	_
19-11	_	_	_	_	_	_	_	_	_	_	_
19-12	_	_	_	_	_	_	_	_	_	_	_
19-13	_	_	_	_	_	INTERACTION	_	INTERACTION	_	_	_
19-14	_	_	_	_	_	_	_	_	_	_	_
19-15	DRUG[24]	_	_	_	_	_	_	_	_	_	_
19-16	DRUG[24]	DRUG	_	DRUG	DRUG	DRUG	DRUG	DRUG	DRUG	DRUG	DRUG
19-17	_	_	_	_	_	_	_	_	_	_	_
19-18	_	BEVERAGE[4]	_	_	_	_	_	_	BEVERAGE[14]	_	_
19-19	BEVERAGE[25]	BEVERAGE[4]	_	BEVERAGE[19]	BEVERAGE[22]	BEVERAGE[20]	BEVERAGE[6]	BEVERAGE[16]	BEVERAGE[14]	BEVERAGE[4]	BEVERAGE[8]
19-20	BEVERAGE[25]	BEVERAGE[4]	_	BEVERAGE[19]	BEVERAGE[22]	BEVERAGE[20]	BEVERAGE[6]	BEVERAGE[16]	BEVERAGE[14]	BEVERAGE[4]	BEVERAGE[8]
19-21	BEVERAGE[25]|FOOD[26]	BEVERAGE[4]|FOOD[5]	_	BEVERAGE[19]|FOOD[20]	BEVERAGE[22]	BEVERAGE[20]|FOOD[21]	BEVERAGE[6]|FOOD[7]	BEVERAGE[16]|FOOD[17]	BEVERAGE[14]|FOOD[15]	BEVERAGE[4]	BEVERAGE[8]|FOOD[9]
19-22	_	_	_	_	_	_	_	_	FOOD[15]	_	_
19-23	_	_	_	_	_	_	_	_	_	_	_
19-24	_	_	_	_	_	_	_	_	_	_	_
19-25	_	_	_	_	_	_	_	_	_	_	_
19-26	_	_	_	_	_	_	_	_	_	_	_
19-27	_	_	_	_	_	_	_	_	SUPPLEMENT[16]	_	_
19-28	DRUG	_	_	DRUG	DRUG:TYPE	DRUG	SUPPLEMENT	DRUG	SUPPLEMENT[16]	SUPPLEMENT	SUPPLEMENT
19-29	_	_	_	_	_	_	_	_	_	_	_
19-30	DRUG	_	_	DRUG	DRUG	DRUG	_	DRUG	_	_	_
19-31	_	_	_	_	_	_	_	_	_	_	_
19-32	DRUG	_	_	DRUG	DRUG	DRUG	_	DRUG	_	_	_
19-33	_	_	_	_	_	_	_	_	_	_	_
19-34	_	_	_	_	_	_	_	_	_	_	_
19-35	_	_	_	_	_	_	_	_	_	_	_
19-36	_	_	_	_	_	_	_	_	_	_	_
19-37	_	_	_	INTERACTION[21]	INTERACTION[23]	_	_	_	INTERACTION[17]	_	_
19-38	_	_	_	INTERACTION[21]	INTERACTION[23]	_	_	_	INTERACTION[17]	_	_
19-39	_	_	_	INTERACTION[21]	INTERACTION[23]	_	_	_	INTERACTION[17]	_	_
19-40	_	_	_	INTERACTION[21]	INTERACTION[23]	_	_	_	INTERACTION[17]	_	_
19-41	_	_	_	INTERACTION[21]	INTERACTION[23]	_	_	_	INTERACTION[17]	_	_
19-42	_	_	_	INTERACTION[21]	INTERACTION[23]	_	_	_	INTERACTION[17]	_	_
19-43	_	_	_	INTERACTION[21]	INTERACTION[23]	_	_	_	INTERACTION[17]	_	_
19-44	_	_	_	_	_	_	_	_	INTERACTION[17]	_	_
19-45	INTERACTION	_	_	INTERACTION	_	INTERACTION	_	_	INTERACTION[17]	_	_
19-46	_	_	_	_	_	_	_	_	INTERACTION[17]	_	_
19-47	_	_	_	_	_	_	_	_	_	_	_
19-48	_	_	_	_	_	_	_	_	DRUG[18]	_	_
19-49	DRUG	DRUG	_	DRUG	DRUG	DRUG	DRUG	DRUG	DRUG[18]	DRUG	DRUG
19-50	_	_	_	_	_	_	_	_	DRUG[18]	_	_
19-51	_	_	_	_	_	_	_	_	_	_	_
19-52	_	_	_	_	_	_	_	_	_	_	_
19-53	_	_	_	INTERACTION[22]	INTERACTION[24]	_	_	_	_	_	_
19-54	_	_	_	INTERACTION[22]	INTERACTION[24]	_	_	_	_	_	_
19-55	INTERACTION[27]	INTERACTION[6]	_	INTERACTION[22]	INTERACTION[24]	INTERACTION[22]	INTERACTION[8]	_	INTERACTION[19]	INTERACTION[5]	INTERACTION[10]
19-56	INTERACTION[27]	INTERACTION[6]	_	INTERACTION[22]	INTERACTION[24]	INTERACTION[22]	INTERACTION[8]	_	INTERACTION[19]	INTERACTION[5]	INTERACTION[10]
19-57	INTERACTION[27]	INTERACTION[6]	_	INTERACTION[22]	INTERACTION[24]	INTERACTION[22]	INTERACTION[8]	_	INTERACTION[19]	INTERACTION[5]	INTERACTION[10]
19-58	_	_	_	_	_	_	_	_	_	_	_
19-59	_	_	_	INTERACTION[23]	_	_	_	_	_	_	_
19-60	_	_	_	INTERACTION[23]	_	_	_	_	_	_	_
19-61	_	_	_	INTERACTION[23]	_	_	_	_	_	_	_
19-62	_	_	_	INTERACTION[23]	_	_	_	_	_	_	_
19-63	_	_	_	INTERACTION[23]	_	_	_	_	_	_	_
19-64	_	_	_	_	_	_	_	_	_	_	_
19-65	_	_	_	_	_	_	_	_	_	_	_
19-66	_	_	_	_	_	_	_	_	_	_	_
19-67	INTERACTION[28]	_	_	_	_	INTERACTION	_	_	_	_	_
19-68	INTERACTION[28]	_	_	_	_	_	_	_	_	_	_
19-69	_	_	_	_	_	_	_	_	_	_	_
19-70	_	_	_	_	_	_	_	_	DRUG[20]	_	_
19-71	DRUG	SUPPLEMENT	_	DRUG	DRUG	DRUG	_	DRUG	DRUG[20]	SUPPLEMENT	DRUG
19-72	_	_	_	_	_	_	_	_	_	_	_
19-73	_	_	_	_	_	_	_	_	_	_	_
19-74	_	_	_	_	_	_	_	_	_	_	_
19-75	_	_	_	_	_	_	_	_	_	_	_
20-1	_	_	_	_	_	_	_	_	_	_	_
20-2	_	_	_	_	_	_	_	_	_	_	_
20-3	_	_	_	_	_	_	_	_	_	_	_
20-4	_	_	_	_	_	_	_	_	_	_	_
20-5	_	_	_	_	_	_	_	_	_	_	_
20-6	_	_	_	_	_	_	_	_	_	_	_
20-7	DRUG	_	_	DRUG	DRUG	DRUG	_	DRUG	_	_	_
20-8	_	_	_	_	_	_	_	_	_	_	_
20-9	_	_	_	_	_	_	_	_	_	_	_
20-10	_	_	_	_	_	_	_	INTERACTION	_	_	_
20-11	_	_	_	_	_	_	_	_	_	_	_
20-12	_	_	_	_	_	_	_	_	_	_	_
20-13	_	_	_	_	_	_	_	_	_	_	_
20-14	_	_	_	_	_	_	_	_	_	_	_
20-15	_	_	_	_	_	_	_	_	_	_	_
20-16	BEVERAGE[29]	_	_	BEVERAGE[24]	BEVERAGE:HYP[25]	BEVERAGE[23]	_	BEVERAGE[18]	_	_	_
20-17	BEVERAGE[29]	_	_	BEVERAGE[24]	BEVERAGE:HYP[25]	BEVERAGE[23]	_	BEVERAGE[18]	_	_	_
20-18	BEVERAGE[29]|FOOD[30]	_	_	BEVERAGE[24]|FOOD[25]	BEVERAGE:HYP[25]	BEVERAGE[23]|FOOD[24]	_	BEVERAGE[18]|FOOD[19]	_	_	_
20-19	_	_	_	_	_	_	_	_	_	_	_
20-20	_	_	_	_	_	_	_	_	_	_	_
20-21	_	_	_	_	_	_	_	_	_	_	_
20-22	_	_	_	DRUG	_	DRUG:HYPER	_	DRUG	_	_	_
20-23	_	_	_	_	_	_	_	_	_	_	_
20-24	_	_	_	_	_	_	_	_	_	_	_
20-25	_	_	_	_	_	_	_	_	_	_	_
20-26	_	_	_	_	_	_	_	_	_	_	_
20-27	INTERACTION[31]	_	_	INTERACTION[26]	_	_	_	INTERACTION	_	_	_
20-28	INTERACTION[31]	_	_	INTERACTION[26]	_	_	_	_	_	_	_
20-29	_	_	_	_	_	_	_	_	_	_	_
21-1	_	_	_	_	_	_	_	_	_	_	_
21-2	_	_	_	_	_	_	_	_	_	_	_
21-3	DRUG	_	_	DRUG	DRUG:HYP	DRUG:HYPER	_	DRUG	_	_	_
21-4	_	_	_	_	_	_	_	_	_	_	_
21-5	DRUG	_	_	DRUG	DRUG	DRUG	_	DRUG	_	_	_
21-6	_	_	_	_	_	_	_	_	_	_	_
21-7	DRUG	_	_	DRUG	DRUG	DRUG	_	DRUG	_	_	_
21-8	_	_	_	_	_	_	_	_	_	_	_
21-9	_	_	_	_	_	_	_	_	_	_	_
21-10	_	_	_	_	_	_	_	_	_	_	_
21-11	_	_	_	_	_	_	_	_	_	_	_
21-12	_	_	_	INTERACTION[27]	INTERACTION[26]	_	_	INTERACTION[20]	_	_	_
21-13	_	_	_	INTERACTION[27]	INTERACTION[26]	_	_	INTERACTION[20]	_	_	_
21-14	INTERACTION	_	_	INTERACTION[27]	INTERACTION[26]	INTERACTION	_	INTERACTION[20]	_	_	_
21-15	_	_	_	_	_	_	_	_	_	_	_
21-16	_	_	_	_	_	_	_	_	_	_	_
21-17	_	_	_	_	_	_	_	_	_	_	_
21-18	_	_	_	_	_	_	_	_	_	_	_
21-19	BEVERAGE[32]	_	_	BEVERAGE[28]	BEVERAGE[27]	BEVERAGE[25]	_	BEVERAGE[21]	BEVERAGE[21]	_	_
21-20	BEVERAGE[32]	_	_	BEVERAGE[28]	BEVERAGE[27]	BEVERAGE[25]	_	BEVERAGE[21]	BEVERAGE[21]	_	_
21-21	BEVERAGE[32]|FOOD[33]	_	_	BEVERAGE[28]|FOOD[29]	BEVERAGE[27]	BEVERAGE[25]|FOOD[26]	_	BEVERAGE[21]|FOOD[22]	BEVERAGE[21]|FOOD[22]	_	_
21-22	_	_	_	_	_	_	_	_	FOOD[22]	_	_
22-1	_	_	_	INTERACTION[30]	_	_	_	_	_	_	_
22-2	_	_	_	INTERACTION[30]	_	_	_	_	_	_	_
22-3	INTERACTION	_	_	INTERACTION[30]	_	INTERACTION	_	_	_	_	_
22-4	_	_	_	_	_	_	_	_	_	_	_
22-5	_	_	_	_	_	_	_	_	_	_	_
22-6	DRUG	_	_	DRUG	DRUG:HYP	DRUG:HYPER	_	DRUG	_	_	_
22-7	_	_	_	_	_	_	_	_	_	_	_
22-8	_	_	_	_	_	_	_	_	_	_	_
22-9	_	_	_	_	_	_	_	_	_	_	_
22-10	_	_	_	_	_	_	_	_	_	_	_
22-11	_	_	_	_	_	_	_	_	_	_	_
22-12	_	_	_	_	_	_	_	_	_	_	_
22-13	_	_	_	_	_	_	_	_	_	_	_
22-14	_	_	_	_	_	_	_	_	_	_	_
22-15	_	_	_	_	_	_	_	_	_	_	_
22-16	_	_	_	_	_	_	_	_	_	_	_
22-17	_	_	_	_	_	_	_	_	_	_	_
22-18	_	_	_	_	_	_	_	_	_	_	_
22-19	_	_	_	_	_	_	_	_	_	_	_
22-20	_	_	_	_	_	_	_	_	_	_	_
22-21	_	_	_	_	_	_	_	_	_	_	_
22-22	_	_	_	_	_	_	_	_	_	_	_
22-23	_	_	_	_	_	_	_	_	_	_	_
22-24	_	_	_	_	_	_	_	_	_	_	_
22-25	_	_	_	_	_	_	_	_	_	_	_
22-26	_	_	_	_	_	INTERACTION	_	_	_	_	_
22-27	_	_	_	_	_	_	_	_	_	_	_
22-28	_	_	_	_	_	_	_	_	_	_	_
22-29	BEVERAGE[34]	_	_	BEVERAGE[31]	BEVERAGE[28]	BEVERAGE[27]	_	BEVERAGE[23]	_	_	_
22-30	BEVERAGE[34]	_	_	BEVERAGE[31]	BEVERAGE[28]	BEVERAGE[27]	_	BEVERAGE[23]	_	_	_
22-31	BEVERAGE[34]|FOOD[35]	_	_	BEVERAGE[31]|FOOD[32]	BEVERAGE[28]	BEVERAGE[27]|FOOD[28]	_	BEVERAGE[23]|FOOD[24]	_	_	_
22-32	_	_	_	_	_	_	_	_	_	_	_
23-1	_	_	_	_	_	_	_	_	_	_	_
23-2	_	_	_	_	_	_	_	_	_	_	_
23-3	_	_	_	_	_	_	_	_	_	_	_
23-4	_	_	_	_	_	_	_	_	_	_	_
23-5	_	_	_	_	_	_	_	_	_	_	_
23-6	_	_	_	_	_	_	_	_	_	_	_
23-7	_	_	_	_	_	_	_	_	_	_	_
23-8	_	_	_	_	_	_	_	_	_	_	_
23-9	BEVERAGE[36]	BEVERAGE[7]	_	BEVERAGE[33]	BEVERAGE:HYP[29]	BEVERAGE[29]	_	BEVERAGE[25]	BEVERAGE[23]	BEVERAGE[6]	BEVERAGE[11]
23-10	BEVERAGE[36]	BEVERAGE[7]	_	BEVERAGE[33]	BEVERAGE:HYP[29]	BEVERAGE[29]	_	BEVERAGE[25]	BEVERAGE[23]	BEVERAGE[6]	BEVERAGE[11]
23-11	BEVERAGE[36]|FOOD[37]	BEVERAGE[7]|FOOD[8]	_	BEVERAGE[33]|FOOD[34]	BEVERAGE:HYP[29]	BEVERAGE[29]|FOOD[30]	_	BEVERAGE[25]|FOOD[26]	BEVERAGE[23]|FOOD[24]	BEVERAGE[6]	BEVERAGE[11]
23-12	INTERACTION[38]	INTERACTION[9]	_	INTERACTION[35]	INTERACTION[30]	INTERACTION	_	INTERACTION	_	INTERACTION[7]	INTERACTION[12]
23-13	INTERACTION[38]	INTERACTION[9]	_	INTERACTION[35]	INTERACTION[30]	_	_	_	INTERACTION[25]	INTERACTION[7]	INTERACTION[12]
23-14	_	_	_	_	_	_	_	_	INTERACTION[25]	_	_
23-15	_	_	_	DRUG	DRUG:HYP	DRUG:HYPER	_	DRUG	INTERACTION[25]	_	_
23-16	_	_	_	_	_	_	_	_	INTERACTION[25]	_	_
23-17	_	_	_	_	_	_	_	_	INTERACTION[25]	_	_
23-18	_	_	_	_	_	_	_	_	INTERACTION[25]|DRUG[26]	_	_
23-19	DRUG	DRUG	_	DRUG	DRUG	DRUG	_	DRUG	INTERACTION[25]|DRUG[26]	DRUG	DRUG
23-20	_	_	_	_	_	_	_	_	_	_	_
23-21	_	_	_	_	_	_	_	_	_	_	_
23-22	DRUG	_	_	DRUG	_	DRUG	_	_	_	_	_
23-23	_	_	_	_	_	_	_	_	_	_	_
23-24	_	_	_	_	_	_	_	_	_	_	_
24-1	_	_	_	_	_	_	_	_	_	_	_
24-2	_	BEVERAGE[10]	_	_	_	_	_	_	BEVERAGE[27]	_	_
24-3	BEVERAGE[39]	BEVERAGE[10]	_	BEVERAGE[36]	BEVERAGE[31]	BEVERAGE[31]	_	BEVERAGE[27]	BEVERAGE[27]	BEVERAGE[8]	_
24-4	BEVERAGE[39]	BEVERAGE[10]	_	BEVERAGE[36]	BEVERAGE[31]	BEVERAGE[31]	_	BEVERAGE[27]	BEVERAGE[27]	BEVERAGE[8]	_
24-5	BEVERAGE[39]|FOOD[40]	BEVERAGE[10]|FOOD[11]	_	BEVERAGE[36]	BEVERAGE[31]	BEVERAGE[31]|FOOD[32]	_	BEVERAGE[27]|FOOD[28]	BEVERAGE[27]|FOOD[28]	BEVERAGE[8]	_
24-6	_	_	_	_	_	_	_	_	_	_	_
24-7	_	_	_	_	_	_	_	_	_	_	_
24-8	_	_	_	_	_	_	_	_	_	_	_
24-9	_	_	_	_	_	_	_	_	_	_	_
24-10	_	_	_	_	_	_	_	_	_	_	_
24-11	_	_	_	_	_	_	_	_	_	_	_
24-12	_	_	_	_	_	_	_	_	_	_	_
24-13	_	_	_	_	_	_	_	_	_	_	_
24-14	_	_	_	_	_	_	_	_	_	_	_
24-15	_	_	_	_	_	_	_	_	_	_	_
24-16	_	_	_	_	_	_	_	_	_	_	_
24-17	_	_	_	_	_	_	_	_	_	_	_
24-18	_	_	_	BEVERAGE[37]	_	_	_	BEVERAGE[29]	BEVERAGE[29]	_	_
24-19	BEVERAGE[41]	BEVERAGE[12]	_	BEVERAGE[37]	BEVERAGE[32]	BEVERAGE[33]	_	BEVERAGE[29]	BEVERAGE[29]	BEVERAGE[9]	BEVERAGE[13]|BEVERAGE[14]
24-20	BEVERAGE[41]|FOOD[42]	BEVERAGE[12]|FOOD[13]	_	BEVERAGE[37]	BEVERAGE[32]|FOOD[33]	BEVERAGE[33]|FOOD[34]	_	BEVERAGE[29]|FOOD[30]	BEVERAGE[29]|FOOD[30]	BEVERAGE[9]|FOOD[10]	BEVERAGE[13]|BEVERAGE[14]
24-21	BEVERAGE[41]	_	_	BEVERAGE[37]	BEVERAGE[32]	_	_	BEVERAGE[29]	_	_	BEVERAGE[13]
24-22	BEVERAGE[41]	_	_	BEVERAGE[37]	BEVERAGE[32]	_	_	BEVERAGE[29]	_	_	BEVERAGE[13]
24-23	BEVERAGE[41]|FOOD[43]	FOOD	_	BEVERAGE[37]	BEVERAGE[32]|FOOD[34]	FOOD	_	BEVERAGE[29]|FOOD[31]	FOOD	FOOD	BEVERAGE[13]
24-24	_	_	_	_	_	_	_	_	_	_	_
24-25	_	_	_	_	_	_	_	_	_	_	_
24-26	_	_	_	_	_	_	_	_	_	_	_
24-27	_	_	_	_	_	_	_	_	_	_	_
24-28	_	_	_	_	_	_	_	_	_	_	_
24-29	_	_	_	_	_	_	_	_	_	_	_
24-30	_	_	_	_	_	_	_	_	_	_	_
24-31	INTERACTION[44]	INTERACTION[14]	_	INTERACTION[38]	INTERACTION[35]	INTERACTION[35]	_	_	INTERACTION[31]	INTERACTION[11]	INTERACTION[15]
24-32	INTERACTION[44]	INTERACTION[14]	_	INTERACTION[38]	INTERACTION[35]	INTERACTION[35]	_	INTERACTION	INTERACTION[31]	INTERACTION[11]	INTERACTION[15]
24-33	_	_	_	_	_	_	_	_	INTERACTION[31]	_	_
24-34	_	_	_	_	_	_	_	_	INTERACTION[31]|DRUG[32]	_	_
24-35	DRUG	DRUG	_	DRUG	DRUG	DRUG	_	DRUG	INTERACTION[31]|DRUG[32]	DRUG	DRUG
24-36	_	_	_	_	_	_	_	_	INTERACTION[31]	_	_
24-37	_	_	_	_	_	_	_	_	INTERACTION[31]	_	_
24-38	_	_	_	_	_	_	_	_	INTERACTION[31]	_	_
24-39	_	_	_	_	_	_	_	_	INTERACTION[31]	_	_
24-40	_	_	_	_	_	_	_	_	INTERACTION[31]	_	_
24-41	_	_	_	_	_	_	_	_	_	_	_
24-42	_	_	_	_	_	_	_	_	_	_	_
24-43	_	_	_	_	_	_	_	_	_	_	_
25-1	_	_	_	_	_	_	_	_	_	_	_
25-2	_	_	_	_	_	_	_	_	_	_	_
25-3	_	_	_	_	_	_	_	_	_	_	_
25-4	_	_	_	_	_	_	_	_	_	_	_
25-5	_	_	_	_	_	_	_	_	_	_	_
25-6	_	_	_	_	_	_	_	_	_	_	_
25-7	_	_	_	_	_	_	_	_	_	_	_
25-8	_	_	_	_	_	_	_	_	_	_	_
25-9	_	_	_	_	_	_	_	_	_	_	_
25-10	_	_	_	_	_	_	_	_	_	_	_
25-11	_	_	_	_	_	_	_	_	_	_	_
25-12	PLANT	_	_	PLANT	SUPPLEMENT	FOOD	_	DRUG	_	_	_
25-13	_	_	_	_	_	_	_	_	_	_	_
25-14	_	_	_	_	_	_	_	_	_	_	_
25-15	_	_	_	_	_	_	_	_	_	_	_
25-16	FOOD	_	_	FOOD	FOOD:HYP	FOOD	_	FOOD	_	_	_
25-17	_	_	_	_	_	_	_	_	_	_	_
25-18	FOOD	_	_	FOOD	_	FOOD	_	FOOD	_	_	_
25-19	_	_	_	_	_	_	_	_	_	_	_
25-20	_	_	_	_	_	_	_	_	_	_	_
25-21	_	_	_	_	_	_	_	INTERACTION	_	_	_
25-22	_	_	_	_	_	_	_	_	_	_	_
26-1	_	_	_	_	_	_	_	_	_	_	_
26-2	INTERACTION	_	_	INTERACTION	_	INTERACTION	_	_	_	_	_
26-3	_	_	_	_	_	_	_	_	_	_	_
26-4	_	_	_	_	_	_	_	_	_	_	_
26-5	_	_	_	_	_	_	_	_	_	_	_
26-6	_	_	_	_	_	_	_	_	_	_	_
26-7	_	_	_	_	_	DUREE[36]	_	_	_	_	_
26-8	_	_	_	_	_	DUREE[36]	_	_	_	_	_
26-9	_	_	_	_	_	_	_	_	_	_	_
26-10	_	_	_	_	_	_	_	_	_	_	_
26-11	_	_	_	_	_	_	_	_	_	_	_
26-12	_	_	_	_	_	DUREE[37]	_	_	_	_	_
26-13	_	_	_	_	_	DUREE[37]	_	_	_	_	_
26-14	_	_	_	_	_	_	_	_	_	_	_
26-15	_	_	_	_	_	_	_	_	_	_	_
26-16	_	_	_	_	_	_	_	_	_	_	_
26-17	_	_	_	_	_	_	_	_	_	_	_
26-18	_	_	_	_	_	_	_	_	_	_	_
26-19	_	_	_	_	_	_	_	_	_	_	_
26-20	_	_	_	_	_	_	_	_	_	_	_
26-21	_	_	_	_	_	_	_	_	_	_	_
26-22	_	_	_	_	_	_	_	_	_	_	_
26-23	_	_	_	_	_	_	_	_	_	_	_
26-24	_	_	_	_	_	_	_	_	_	_	_
26-25	_	_	_	_	_	_	_	_	_	_	_
26-26	_	_	_	_	_	_	_	_	_	_	_
26-27	_	_	_	_	_	_	_	_	_	_	_
26-28	_	_	_	_	_	_	_	_	_	_	_
26-29	_	_	_	_	_	_	_	_	_	_	_
26-30	_	_	_	_	_	_	_	_	_	_	_
26-31	_	_	_	_	_	_	_	_	_	_	_
26-32	_	_	_	_	_	_	_	_	_	_	_
26-33	_	_	_	_	_	_	_	_	_	_	_
26-34	_	_	_	_	_	_	_	_	_	_	_
26-35	_	_	_	_	_	_	_	_	_	_	_
27-1	_	_	_	_	_	_	_	_	_	_	_
27-2	_	_	_	_	_	_	_	_	_	_	_
27-3	_	_	_	_	_	_	_	_	_	_	_
27-4	_	_	_	_	_	_	_	_	_	_	_
27-5	INTERACTION	_	_	INTERACTION	_	INTERACTION	_	_	_	_	_
27-6	_	_	_	_	_	_	_	_	_	_	_
27-7	_	_	_	_	_	_	_	_	_	_	_
27-8	_	_	_	_	_	_	_	_	_	_	_
27-9	_	_	_	_	_	_	_	_	_	_	_
27-10	_	_	_	_	_	_	_	_	_	_	_
27-11	_	_	_	_	_	_	_	_	_	_	_
27-12	_	_	_	_	_	_	_	_	_	_	_
27-13	_	_	_	DRUG	_	DRUG	_	DRUG	_	_	_
27-14	_	_	_	_	_	_	_	_	_	_	_
28-1	_	_	_	_	_	_	_	_	_	_	_
28-2	_	_	_	_	_	_	_	_	_	_	_
28-3	_	_	_	_	_	_	_	_	_	_	_
28-4	_	_	_	_	_	_	_	_	_	_	_
28-5	_	BEVERAGE[15]	_	_	_	_	_	_	BEVERAGE[33]	_	_
28-6	BEVERAGE[45]	BEVERAGE[15]	_	BEVERAGE[39]	BEVERAGE[36]	BEVERAGE[38]	BEVERAGE[9]	BEVERAGE[32]	BEVERAGE[33]	BEVERAGE[12]	BEVERAGE[16]
28-7	BEVERAGE[45]	BEVERAGE[15]	_	BEVERAGE[39]	BEVERAGE[36]	BEVERAGE[38]	BEVERAGE[9]	BEVERAGE[32]	BEVERAGE[33]	BEVERAGE[12]	BEVERAGE[16]
28-8	BEVERAGE[45]|FOOD[46]	BEVERAGE[15]|FOOD[16]	_	BEVERAGE[39]|FOOD[40]	BEVERAGE[36]	BEVERAGE[38]|FOOD[39]	BEVERAGE[9]|FOOD[10]	BEVERAGE[32]|FOOD[33]	BEVERAGE[33]|FOOD[34]	BEVERAGE[12]	BEVERAGE[16]
28-9	INTERACTION[47]	INTERACTION[17]	_	INTERACTION[41]	INTERACTION[37]	INTERACTION	INTERACTION[11]	INTERACTION	INTERACTION[35]	INTERACTION[13]	INTERACTION[17]
